run_dir,rho_inflation_percentage,w_skip_degradation_factor,coverage_factor,30s_reading_speed,30s_skip_rate,30s_regression_rate,60s_reading_speed,60s_skip_rate,60s_regression_rate,90s_reading_speed,90s_skip_rate,90s_regression_rate,loss_type,loss_total,loss_reading_speed,loss_skip_rate,loss_regression_rate
simulation_data/rho_0.290__w_0.980__cov_2.10,0.29,0.98,2.1,198.22222222222223,0.6641566436232486,0.26533431445635414,194.0,0.6157654407898112,0.5588361967695988,184.37037037037035,0.6272922005634357,0.6736738646908623,sse,881.6301202505072,881.3531842892264,0.2604912400463799,0.01644472123417987
simulation_data/rho_0.290__w_0.960__cov_0.60,0.29,0.96,0.6,208.66666666666666,0.6150862118946484,0.5037972131971629,189.88888888888889,0.5975277136594142,0.5326117938375854,182.74074074074073,0.5977943697506092,0.6678673666984571,sse,886.5079725080021,886.2571635218535,0.20800453381363948,0.04280445233497031
simulation_data/rho_0.290__w_0.820__cov_1.80,0.29,0.82,1.8,202.88888888888889,0.5132786986000335,0.2953145833413888,194.11111111111111,0.46736274842560505,0.506717332859102,182.22222222222223,0.4688461937081988,0.6339943991416013,sse,887.8167556378693,887.7526433836886,0.060802370849162034,0.00330988333157658
simulation_data/rho_0.290__w_0.900__cov_1.30,0.29,0.9,1.3,208.22222222222223,0.5698774840153377,0.3608395665138046,190.66666666666666,0.5540352389987604,0.526325018211966,182.37037037037035,0.5600633584241015,0.6510788114836418,sse,889.0545191911795,888.8992415340788,0.14758904622884647,0.007688610871805146
simulation_data/rho_0.290__w_1.000__cov_0.50,0.29,1.0,0.5,205.33333333333334,0.6161447873287306,0.5146375156337807,190.44444444444446,0.6455275047366802,0.5452093315012567,185.03703703703704,0.6501628381796164,0.6811283670390239,sse,892.592410938083,892.2716943081396,0.2700405583634217,0.05067607157988246
simulation_data/rho_0.270__w_0.980__cov_1.60,0.27,0.98,1.6,199.11111111111111,0.6664423001430142,0.34596054971738627,193.33333333333334,0.6179960580509173,0.5555644401432641,185.1851851851852,0.6305137316203053,0.6733576665057666,sse,893.9375266586712,893.6588372361123,0.26510636162148804,0.013583060937526486
simulation_data/rho_0.290__w_0.940__cov_0.20,0.29,0.94,0.2,205.55555555555554,0.573168447278329,0.6074247250465036,192.88888888888889,0.5655115833636297,0.5366659584218717,182.14814814814815,0.5727096105877789,0.6631394594273862,sse,894.8134522354951,894.561325496029,0.16069347078592833,0.09143326868011978
simulation_data/rho_0.290__w_0.940__cov_2.30,0.29,0.94,2.3,198.66666666666666,0.6151762487225714,0.2570170710602353,192.88888888888889,0.5703136430716544,0.5446368386144961,185.92592592592595,0.5740471729719187,0.6700128614065541,sse,897.9722379613469,897.7767976137784,0.18072612695956286,0.014714220608896315
simulation_data/rho_0.290__w_0.900__cov_1.80,0.29,0.9,1.8,200.0,0.5766356127400696,0.2792635409355656,194.55555555555554,0.5525077775688324,0.538813952576822,183.48148148148147,0.5472651396062433,0.6543652484505817,sse,898.6470026951429,898.494465463305,0.1430987921221587,0.009438439715804426
simulation_data/rho_0.290__w_0.980__cov_0.40,0.29,0.98,0.4,206.22222222222223,0.6112015820330219,0.5266500797034357,194.22222222222223,0.611551095519011,0.545429739442783,179.77777777777774,0.622532705312952,0.6690885371686277,sse,900.3148789747229,900.0323335730163,0.22903811688873602,0.05350728481789795
simulation_data/rho_0.300__w_0.700__cov_0.50,0.3,0.7,0.5,206.22222222222223,0.392309172886457,0.48138777967894597,193.0,0.3262292449348671,0.4571415498030318,181.7037037037037,0.32012246302787095,0.5898028331428878,sse,903.0999453722812,903.0733241077603,0.00011263663301788641,0.026508627887940915
simulation_data/rho_0.290__w_0.720__cov_0.30,0.29,0.72,0.3,206.88888888888889,0.4166215805944698,0.5636701807480914,192.88888888888889,0.34852937371788373,0.48746565134952924,181.25925925925927,0.3424231576452174,0.598876632978464,sse,903.3950534139059,903.3331181339532,0.0023110204688042593,0.059624259483818075
simulation_data/rho_0.290__w_0.880__cov_0.50,0.29,0.88,0.5,202.66666666666666,0.5286164964388901,0.5099153885634519,192.55555555555554,0.5451934099994616,0.5178042748065694,184.74074074074073,0.5355525260416729,0.6585936065997348,sse,903.8406556263932,903.6793602452549,0.11896033175360904,0.042335049384686754
