sentence_id,word_id,word,original_word,position,sentence,length,frequency,log_frequency,difficulty,predictability,logit_predictability,skip_probability,regression_probability,total_occurrences,pred_class
4,7,completion,completion,7,,10,1.5500000000000005,0.19033169817029147,0.9826971183481554,0.0,-2.5530000000000004,0.09090909090909091,0.0,11,Class 1
4,8,of,of,8,,2,11577.240000000003,4.063605036452091,0.6305813603225372,0.0,-2.5530000000000004,0.7272727272727273,0.0,11,Class 1
4,9,his,his,9,,3,2124.7799999999997,3.3273139698064678,0.6975169118357755,0.0,-2.5530000000000004,0.9090909090909091,0.2727272727272727,11,Class 1
4,10,own,own,10,,3,459.1999999999999,2.6620018793899165,0.7579998291463711,0.0,-2.5530000000000004,0.9090909090909091,0.5454545454545454,11,Class 1
4,11,selfpropelled,self-propelled,11,,13,1.0,0.0,1.0,0.0,-2.5530000000000004,0.18181818181818182,0.0,11,Class 1
4,12,vehicle,vehicle,12,,7,22.610000000000003,1.3543005623453597,0.8768817670595129,0.0,-2.5530000000000004,0.2727272727272727,0.0,11,Class 1
4,13,named,named,13,,5,69.88,1.8443528963108933,0.8323315548808276,0.0,-2.5530000000000004,0.18181818181818182,0.0,11,Class 1
4,14,the,the,14,,3,29449.179999999997,4.4690732065447465,0.5937206175868414,0.0,-2.5530000000000004,0.8181818181818182,0.0,11,Class 1
4,15,quadricycle,"Quadricycle,",15,,11,1.0,0.0,1.0,0.0,-2.5530000000000004,0.09090909090909091,0.09090909090909091,11,Class 1
4,16,which,which,16,,5,477.23999999999984,2.6787368370336044,0.7564784693605812,0.0,-2.5530000000000004,0.2727272727272727,0.0,11,Class 1
4,17,he,he,17,,2,7637.199999999998,3.882934163885179,0.6470059851013473,0.0,-2.5530000000000004,0.9090909090909091,0.09090909090909091,11,Class 1
4,18,testdrove,test-drove,18,,9,1.0,0.0,1.0,0.0,-2.5530000000000004,0.18181818181818182,0.45454545454545453,11,Class 1
4,19,on,on,19,,2,6955.729999999997,3.8423427156846257,0.6506961167559432,0.0,-2.5530000000000004,0.9090909090909091,0.09090909090909091,11,Class 1
4,20,june,June,20,,4,18.860000000000003,1.2755416884013095,0.88404166469079,0.0,-2.5530000000000004,0.36363636363636365,0.2727272727272727,11,Class 1
4,21,4,4,21,,1,1.0,0.0,1.0,0.0,-2.5530000000000004,1.0,0.09090909090909091,11,Class 1
4,22,of,of,22,,2,11577.240000000003,4.063605036452091,0.6305813603225372,0.0,-2.5530000000000004,0.6363636363636364,0.18181818181818182,11,Class 1
4,23,that,that,23,,4,14111.31,4.14956733263194,0.622766606124369,0.0,-2.5530000000000004,0.36363636363636365,0.0,11,Class 1
4,24,year,year.,24,,4,277.92,2.443919801103024,0.7778254726269979,0.0,-2.5530000000000004,0.0,0.0,11,Class 1
5,0,ford,Ford,0,,4,11.510000000000003,1.0610753236297918,0.9035386069427461,0.0,-2.5530000000000004,0.0,0.18181818181818182,11,Class 1
5,1,was,was,1,,3,5654.729999999999,3.7524118732208906,0.6588716478890099,0.0,-2.5530000000000004,0.7272727272727273,0.2727272727272727,11,Class 1
5,2,born,born,2,,4,83.69000000000001,1.922673567858554,0.8252114938310406,0.0,-2.5530000000000004,0.45454545454545453,0.2727272727272727,11,Class 1
5,3,on,on,3,,2,6955.729999999997,3.8423427156846257,0.6506961167559432,0.0,-2.5530000000000004,0.9090909090909091,0.18181818181818182,11,Class 1
5,4,a,a,4,,1,20415.269999999997,4.309955128012859,0.6081858974533764,0.0,-2.5530000000000004,0.9090909090909091,0.09090909090909091,11,Class 1
5,5,prosperous,prosperous,5,,10,1.25,0.09691001300805645,0.9911899988174493,0.0,-2.5530000000000004,0.36363636363636365,0.2727272727272727,11,Class 1
5,6,farm,farm,6,,4,30.04,1.4776999283321308,0.8656636428788971,0.0,-2.5530000000000004,0.45454545454545453,0.36363636363636365,11,Class 1
5,7,in,in,7,,2,9773.410000000002,3.990046118048168,0.637268534722894,0.0,-2.5530000000000004,0.9090909090909091,0.0,11,Class 1
5,8,springwells,Springwells,8,,11,1.0,0.0,1.0,0.0,-2.5530000000000004,0.36363636363636365,0.36363636363636365,11,Class 1
5,9,township,Township,9,,8,0.49000000000000016,-0.30980391997148626,1.0281639927246806,0.0,-2.5530000000000004,0.36363636363636365,0.0,11,Class 1
5,10,now,(now,10,,3,3202.61,3.505504055379279,0.6813178131473382,0.0,-2.5530000000000004,0.8181818181818182,0.36363636363636365,11,Class 1
5,11,in,in,11,,2,9773.410000000002,3.990046118048168,0.637268534722894,0.0,-2.5530000000000004,0.8181818181818182,0.2727272727272727,11,Class 1
5,12,the,the,12,,3,29449.179999999997,4.4690732065447465,0.5937206175868414,0.0,-2.5530000000000004,1.0,0.36363636363636365,11,Class 1
5,13,city,city,13,,4,169.09999999999997,2.228143607597741,0.797441490218387,0.0,-2.5530000000000004,0.8181818181818182,0.2727272727272727,11,Class 1
5,14,of,of,14,,2,11577.240000000003,4.063605036452091,0.6305813603225372,0.0,-2.5530000000000004,0.9090909090909091,0.09090909090909091,11,Class 1
5,15,dearborn,"Dearborn,",15,,8,0.5700000000000001,-0.24412514432750856,1.0221931949388645,0.0,-2.5530000000000004,0.5454545454545454,0.2727272727272727,11,Class 1
