section,metric,metric_label,source,source_label,condition,comparison,n,mean,sd,sem,test,df1,df2,statistic,p,effect_size,effect_size_name,value_unit,values_source
inferential,skip_rate,Skip rate,full_memory,Sim with unlimited memory,,30s_vs_90s,18,,,,welch_t_test,,14.162778905373646,4.353033953331443,0.000645201375071947,2.052039884757299,cohens_d,episode_stimulus,
inferential,skip_rate,Skip rate,full_memory,Sim with unlimited memory,,60s_vs_90s,18,,,,welch_t_test,,15.60427201415564,1.129562234749941,0.2757262884772665,0.5324807439759428,cohens_d,episode_stimulus,
descriptive,skip_rate,Skip rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),30s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
descriptive,skip_rate,Skip rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),60s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
descriptive,skip_rate,Skip rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),90s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
inferential,skip_rate,Skip rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,nan,nan,nan,eta_squared,episode_stimulus,
inferential,skip_rate,Skip rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),,30s_vs_60s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
inferential,skip_rate,Skip rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),,30s_vs_90s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
inferential,skip_rate,Skip rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),,60s_vs_90s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
descriptive,skip_rate,Skip rate,sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),30s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
descriptive,skip_rate,Skip rate,sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),60s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
descriptive,skip_rate,Skip rate,sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),90s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
inferential,skip_rate,Skip rate,sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,nan,nan,nan,eta_squared,episode_stimulus,
inferential,skip_rate,Skip rate,sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),,30s_vs_60s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
inferential,skip_rate,Skip rate,sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),,30s_vs_90s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
inferential,skip_rate,Skip rate,sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),,60s_vs_90s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
descriptive,skip_rate,Skip rate,text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),30s,,9,0.36609446516743926,0.2333887134047694,0.0777962378015898,,,,,,,,episode_stimulus,
descriptive,skip_rate,Skip rate,text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),60s,,9,0.30476168173492685,0.18073546288447323,0.06024515429482441,,,,,,,,episode_stimulus,
descriptive,skip_rate,Skip rate,text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),90s,,9,0.30476168173492685,0.18073546288447323,0.06024515429482441,,,,,,,,episode_stimulus,
inferential,skip_rate,Skip rate,text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,0.2825971343937075,0.7562971509782902,0.023007929943609354,eta_squared,episode_stimulus,
inferential,skip_rate,Skip rate,text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),,30s_vs_60s,18,,,,welch_t_test,,15.057108171104705,0.6233272573314564,0.5423969868850341,0.2938392870383233,cohens_d,episode_stimulus,
inferential,skip_rate,Skip rate,text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),,30s_vs_90s,18,,,,welch_t_test,,15.057108171104705,0.6233272573314564,0.5423969868850341,0.2938392870383233,cohens_d,episode_stimulus,
inferential,skip_rate,Skip rate,text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),,60s_vs_90s,18,,,,welch_t_test,,16.0,0.0,1.0,0.0,cohens_d,episode_stimulus,
